-----BEGIN NAMESPACES-----
namespace_id,address,buckets,base,coeff,nonalpha_discount,no_vowel_discount,lifetime
apple.id,SP1GA9YB1F1GW6KV1YXKKPVDNQ2PG6W655RZY99JF,1aeeea59e6cd87ff39006f723ab9afc626f10b10
applepay.id,SP2CKQQY8X8XPYEZFBEBEC5CGJT34QRNXHWF66QKF,1c4af0563f5b7af27442c980d00c9627c0f0ae39
apps.blockstack,SP3XKC1PYC1KGTSWCZV2MGY6PHXQPNR6RXV9JWWX7,64a421cb9ab56746668fad9ece3e9cb5625b3fbb
apps.id,SP2R4J9X1SS0XJV947MNCQ9BP9TFEN1962M1Y5XR5,a059ff8301bca0a27e74ec913512e14962636e60
aptifox.id,SPCNCH5Z3R5GF0VC8W4B5QP8PSJ7P1X24HJG66RX,a6ad20c79d3ffae90be0257a2772a461df31bc68
aquaamerica.id,SP2DYJSFVZ7S19XAWRAWT819ZXXAAA59HJDFJCDY5,3baedb0e529409651bed312f0b62c8de1e696adc
arax_crux.id,SP2P9M5TKA76XSA7EKWVSGR6FGY6VNJ9MY2N90PCY,7e0acb24cc10107cd716b3f66dcfb1373952a8e5
arax_dev_crux.id,SPBPVVGQQD7T09KH75Z2XK8V985AR8PHCJZKBAB2,13e14a4e9d296bfd9262c9b4664058bbe69395a7
arcbit_crux.id,SP1VDRXK6GVMBJSMSJBZ4Q86B3K21YTSHEZS9BC3Z,db13e101a7b928d4c67423cb7338335a60d273ad
arcbit_dev_crux.id,SP3ZVVD0SDQD9EBMPS1GWHJYQJVWEZDPBQTX3BDX0,2700e3df97d95f7801b98b80f899e3b5308f190c
architect.id,SPMTQ94ENFFRXQM0HFPTA5YXXP4HTY2GSXZ7SHEK,ec60dc2bdc63fccf58fa858d85699ccfb4aaaa4c
archos_crux.id,SP3NVPJTJX3W6PT7BPSKSR0T44MF0DVMA5GKK12R4,3673ba19b8f5e54f7b83103914f358570ef1d20c
archos_dev_crux.id,SP276RM8M3EMMS72JGJPPN3SJFX8NEN00YGHHJGAP,b1968ec934e91e4393bfec9006b3f8b920758d53
ardor_crux.id,SPX8WNFS7ZCMA0BHMT61SPCR550QN4DZVT61P5SW,baa93aa0a94aadbbf8c276f4b4237a75dc990d25
ardor_dev_crux.id,SP25X770842ACVG53F6B8S4FN8Y38EW9BE4519T8A,f6fb5ecc660ed9977ca473f423c2bc3c6cd93ef2
argent_crux.id,SPFA2MRHATRGJ3XH30KBZND435GAZS9J0ERDC02Z,23a26e9fa1a4fccd36bcb71ee4c7c9e4374bfa98
argent_dev_crux.id,SP2HRKSH7QCK194Y0ERRMXRCRPP2A31ZAJBSE8ZYZ,9424a04fbb5ad085590915b2fbab96bdce6a034a
ariana.id,SPQ3G9D4NJR3TZ81YV7MA433SW6WX3SX0QT6DH6H,4c03a498539d264953f72423730e62ead97a64d5
arianagrande.id,SP3HQPSGBT7BXG9W8YMVW4JAKSN6TS3KVZ5NB472D,f36fdca6135be06ecab334aeea94de72893f7f61
ariella.blockstack,SP1XBQAYXMSZG29976XF75VQ7RWPD2TYJBT7AQY03,6e0a728a5c3a7f26758008ca4b1a8df426672e75
armory_crux.id,SP2AVW3D91D3GMJVPB49PR3S6TQFCZQA2C5CASKZE,cb06f50a821424d3374892cbb982e6c7134fe568
armory_dev_crux.id,SPDH3YEKGJSH3VGT5R3BG95AD77N2XGBCD49V9CH,330521abead6f545da49de28d6250a015007caa0
artist.id,SP16XQWDBHMHB66M4TE82SVGB2474CN17373HC8C2,3f4bd38e3edef77156e68001cabeb4c1c8dd9714
artyr3.id,SP18M394S5RJYWW9RRH4X3ZFGEGHNPKBAS3KKM4K8,8449dbc16d9b8c62cdf34f6eb331cd6e6a07173a
arundhatiyogesh.id,SP3450RTT1XAN34T4H8F613MXB13VB231BZD42MWF,e92bd05489e2548ba8662c2f561d3d8d007238d7
arvizu.id,SP2XNJSSYQT9V6CZ254P9V0GCP0EDKZFWAYVDZ713,d0c52a9d8abc4fdf84a31bfc569fde4a864778b5
ashley.id,SP2C5606Y1QS7Z1FXWTJV8JC4J1DP6R9CS63SV5VF,be2b107a2859d1a9a931f2fa9507f66f637cd346
asset.id,SPBEAMJAQVZTVJEHW3N3CK3JTH1BYDBT6P2746GG,6ad14bdc47da376a391aa2c0be3e8746f83e9024
assets.id,SP1WQ34EHT5CK272WB0XTPXVPS8YVTTX6Z8TBY9B5,39d92779ee82eb21892e58e4a7a0d6d7e5f93680
astral_crux.id,SPMW7Z7D7NGF8V2WM5C062184RCWS3ME4P7B3BHM,f5ead4353c840d0038b9334e72262cc585995f98
astral_dev_crux.id,SPBN291T9TZGETWWBYPH3BJZ1NHX0XS818CV0Y89,1a087b2a6409b10b1ea100fe96b77cca3573bfa3
astro.id,SP3WHECYSCYVCWFMWME1VND6CXB87BH1DBF71XSJM,0304437e16e9fd15bc6ca6b4f5210ed5ae597185
astrology.id,SP22C0SRTB7C1S9YWCFP0705M8E9X5XJ4AYXQD94Y,3fefeeabd2af53f3f0b933a6af3aba95879832a4
atlas.blockstack,SP23SA0QHRYEK06NHH0BWMRPJ91YE1AVSYFP5X23M,5393c87842201286cc921289a5dc9f01f253a0a3
atomic_crux.id,SP3RBF5N9XQ65VB7YB1PGFDZ82NS0PFCMCJ6XK988,f5e3d6c5bdc8178346366651e3de0607211181e3
atomic_dev_crux.id,SP17MYY68GN72GYQ19H2SWGF5470PZV6QRQ1HEE69,9c307c74f237b167af7c656225e53f0f504975f8
atomicwallet_crux.id,SP33RGJFGTZCBC9MXN6YG2VBGDY7RAX3WS4TKF0G6,95436c2706c181b59576f6ff1e81d2b9ec415106
atomicwallet_dev_crux.id,SP3VS5YC1QR1KVNVFDC4N0YAN5PKB5VX66MJHM8Y1,a1dacaebbc5ddd33f63a63835af0848ed35633b5
atorko.id,SP28T674V1NCFXXTGN49H46VME6ZEPFGFY1FFH6HK,142a7c9bb5a32892268d59cb1c07214d92554da2
attache.id,SP3T9GADNYFVBQYKTPD5Q7EB16YK6D459PG39923,64f931a4597a14c632d4689be87039652a0d904e
auctioning.id,SP3VS2VE2AVNEKWH2TD72RJ3FWNKBP273T0G96S1Q,0bbf2145772a87bc2a6f8922d4432ddaa95f9f5e
aulneau.id,SP14XRMY0PQ6NW8MZ609ZN092Z7R9NFVP56K8GAYF,ba97be117117e7fad8754c524fa8cc05fb7dbee3
auroracannabis.id,SP345BW2PNASMQMKRPFRCPMCQ6SN05CE88R8ACZCN,444daa97e042a28aaf1c26d66547304464c5a90c
